CODIGO;NOMBRE;CAT. 2018-2;CAT. 2019-1;DEPARTAMENTO;PROVINCIA;DISTRITO;NUEVA REFERENCIA;REFERENCIA;DIRECIÓN;TS;MS;BI
2686;JACQUES COUSTEAU;4;T;LIMA;LIMA;CARABAYLLO;LIMA/LIMA/CARABAYLLO;LIMA / LIMA / CARABAYLLO;AVENIDA DON JOSE DE SAN MARTIN S/N MZ E LOTE 01;;;
2687;HUELLITAS DE JESUS;4;T;LIMA;LIMA;LURIN;LIMA/LIMA/LURIN;LIMA / LIMA / LURIN;JIRON COLON 252 MZ I LOTE 10;;;
2688;LOS INGENIEROS DE CHINCHA;4;T;ICA;CHINCHA;CHINCHA ALTA;ICA/CHINCHA/CHINCHA ALTA;ICA / CHINCHA / CHINCHA ALTA;AVENIDA LUIS MASSARO 660;;;
2689;KEPLER;4;T;LA LIBERTAD;TRUJILLO;TRUJILLO;LA LIBERTAD/TRUJILLO/TRUJILLO;LA LIBERTAD / TRUJILLO / TRUJILLO;CALLE DANIEL ALCIDES CARRION 585;;;
2690;GAKUSEI;4;T;LIMA;LIMA;SAN JUAN DE LURIGANCHO;LIMA/LIMA/SAN JUAN DE LURIGANCHO;LIMA / LIMA / SAN JUAN DE LURIGANCHO;AVENIDA PROCERES DE LA INDEPENDENCIA 3488 MZ J LOTE 03-04;;;
2691;JOSE ANTONIO ENCINAS;4;T;LIMA;CAÑETE;MALA;LIMA/CAÑETE/MALA;LIMA / CAÑETE / MALA;PASAJE AVILA S/N;;;
2692;PAMER CAJAHUAMAN III;4;T;LIMA;LIMA;LOS OLIVOS;LIMA/LIMA/LOS OLIVOS;LIMA / LIMA / LOS OLIVOS;JIRON CAJAHUAMAN MZ K LOTE 04;;;
2693;SAN AGUSTIN DE INGENIERIA;4;T;LIMA;LIMA;SAN MARTIN DE PORRES;LIMA/LIMA/SAN MARTIN DE PORRES;LIMA / LIMA / SAN MARTIN DE PORRES;JIRON ANTONIO GARLAND 617;;;
2694;ALEXANDER VON HUMBOLDT;4;T;LIMA;LIMA;ATE;LIMA/LIMA/ATE;LIMA / LIMA / ATE;UCV 31 LOTE 47;;;
2695;JUAN BOSCO;4;T;CUSCO;CUSCO;CUSCO;CUSCO/CUSCO/CUSCO;CUSCO / CUSCO / CUSCO;CALLE UMANCHATA 140;;;
