number;name;remote_id;source;image;;;;
394;SANTA MARIA EUFRASIA;4;T;LIMA;;;;
395;SANTA MARIA GORETTI;4;T;LIMA;;;;
397;LINCOLN;4;T;LIMA;;;;
398;SANTA RITA DE CASIA;4;T;LIMA;;;;
399;SANTA RITA DE CASIA;4;T;LIMA;;;;
400;SANTA RITA;4;T;PIURA;;;;
401;SANTA ROSA;4;T;PIURA;;;;
402;PIERE MARIE CURIE;4;T;LIMA;;;;
403;SANTA ROSA;4;T;LIMA;;;;
404;SANTA ROSA;4;T;LIMA;;;;
405;SANTA SOFIA;4;T;LIMA;;;;
406;SANTA TERESITA DEL NIÑO JESUS;4;T;LIMA;;;;
407;SANTA URSULA;3;S;LIMA;;;;
408;SANTA URSULA;4;T;PIURA;;;;
409;SAN VICENTE;4;T;PIURA;;;;
410;SANTISIMO NOMBRE DE JESUS;4;S;LIMA;;;;
411;SANTISIMO SALVADOR;4;T;LIMA;;;;
412;SANTO DOMINGO SAVIO;4;T;LIMA;;;;
413;SANTO TOMAS DE AQUINO;4;T;LIMA;;;;
414;SENOR DE LOS MILAGROS;4;T;LIMA;;;;
415;SENOR DE LA MISERICORDIA;4;T;LIMA;;;;
416;SOR ROSA LARRABURE;4;T;LIMA;;;;
417;SUCRE;4;T;LIMA;;;;
419;SANTA MARIA DE FATIMA;4;T;LIMA;;;;
421;SANTA ROSA DE LIMA;4;T;LIMA;;;;
422;SANTA TERESA DE LA INMACULADA;4;T;LA LIBERTAD;;;;
423;SANTA GERTRUDIS;4;T;LIMA;;;;
424;SANTISIMA TRINIDAD;4;T;LIMA;;;;
425;MARISCAL SANTA CRUZ;4;T;CALLAO;;;;
426;TACNA;4;T;TACNA;;;;
427;TOMAS EDISON;4;T;LIMA;;;;
428;TUPAC AMARU;4;T;PUNO;;;;
429;UNION;4;T;LIMA;;;;
430;LA UNION;3;S;LIMA;;;;
431;VICTOR E. VIVAR;4;T;LIMA;;;;
432;VILLA MARIA;2;R;LIMA;;;;
433;VILLA TERESA;4;T;LIMA;;;;
434;VILLA CARITAS;2;Q;LIMA;;;;
435;VIRGEN DE LOURDES;4;T;LIMA;;;;
436;CRISTO REY (VEDRUNA);4;T;LIMA;;;;
437;VIRGEN MILAGROSA;4;T;LIMA;;;;
438;VIRGEN MILAGROSA;4;T;LIMA;;;;
439;VIRGEN MACARENA;4;T;LIMA;;;;
440;VIRGEN DEL CARMEN;4;T;LIMA;;;;
441;VIRGEN INMACULADA;4;T;LIMA;;;;
442;VILLA FATIMA;4;T;PUNO;;;;
443;WINNETKA;4;T;LIMA;;;;
444;WILSON;4;T;LIMA;;;;
445;WINSTON CHURCHILL;4;T;LIMA;;;;
446;ZARUMILLA;4;T;LIMA;;;;
447;VILLA LUISA DE HUNAY;4;T;LIMA;;;;
448;ALCIDES VIGO HURTADO (PIP);4;T;LIMA;;;;
449;AREQUIPA;4;T;LIMA;;;;
450;CARLOS CUETO FERNANDINI;4;T;LIMA;;;;
451;CLORINDA MATTO DE TURNER;4;T;LIMA;;;;
452;FE Y ALEGRIA (Todos);4;T;LIMA;;;;
453;HENRY MEIGGS;4;T;LIMA;;;;
454;JUAN INGUNZA;4;T;CALLAO;;;;
455;SAN JOSE MARTIN (INST.COMERCIAL);4;T;LIMA;;;;
456;LA LIBERTAD;4;T;LA LIBERTAD;;;;
457;MADRE AMABLE;4;T;CALLAO;;;;
458;MARIA AUXILIADORA;4;T;HUANUCO;;;;
459;MIGUEL GRAU;4;T;JUNIN;;;;
460;SAN LUIS REY;4;T;LIMA;;;;
461;NIÑO JESUS DE BELEN;4;T;LIMA;;;;
462;NIÑO JESUS DE PRAGA;4;T;LIMA;;;;
463;NUEVA EDUCACION;4;T;LIMA;;;;
464;RENACIMIENTO;4;T;LIMA;;;;
465;ROSA MARIA CHECA;4;T;LIMA;;;;
466;ROSENTHAL DE LA PUENTE / SALESIANO ROSENTHAL DE LA PUENTE;4;T;LIMA;;;;
468;SAN FRANCISCO SOLANO;4;T;CALLAO;;;;
469;SANTA LUCIA;4;T;LIMA;;;;
470;SAN PEDRO CHANEL;4;T;PIURA;;;;
471;SAN ROQUE;4;T;LIMA;;;;
472;CESAR FAURA GOUBET (FAP);4;T;AREQUIPA;;;;
473;SANTA CATALINA;4;T;LIMA;;;;
475;SANTA LUISA MARILLAC;4;T;LIMA;;;;
476;SANTA MARIA;4;T;LIMA;;;;
477;SANTA MARIA DE JESUS;4;T;LIMA;;;;
478;SANTA SOFIA;4;T;LIMA;;;;
479;VIRGEN DE BELEN;4;T;LIMA;;;;
480;PEDRO PAULET MOSTAJO;4;T;ICA;;;;
481;JORGE BASADRE;4;T;ICA;;;;
482;BRASILIA;4;T;LIMA;;;;
483;CORAZON DE JESUS;4;T;LIMA;;;;
484;EDUARDO DE HABICH;4;T;LIMA;;;;
485;FRATERNIDAD AMERICANA;4;T;LIMA;;;;
486;GUADALUPE;4;T;ANCASH;;;;
487;HONORIO DELGADO;4;T;LIMA;;;;
488;JORGE BASADRE;4;T;LIMA;;;;
489;LICEO NAVAL F. CARRASCO;4;T;LORETO;;;;
490;SAN LUIS;4;T;MOQUEGUA;;;;
491;SANTA INES;4;T;LIMA;;;;
492;UCAYALI;4;T;UCAYALI;;;;
